regime,month,hour,chiller_kwh_h,gas_smc_h,active_chiller_count,chiller_forecast_pred_kwh_h,gas_forecast_pred_smc_h
heating,2,5,450.6356140350877,585.8991228070175,1.4736842105263157,456.27261141169583,584.9131054578994
heating,2,6,448.22754385964913,593.4078947368421,1.4736842105263157,455.5957381777013,591.6704683031109
heating,2,7,459.25140350877194,609.6271929824561,1.5263157894736843,466.89761602400284,605.9661115830579
heating,2,8,489.6214035087719,606.9517543859649,1.6842105263157894,498.39770560021327,605.2349723218621
heating,2,9,520.8473684210526,583.1740350877193,1.6140350877192982,523.3712263662068,584.2696316794501
heating,2,10,617.3108771929825,558.6214035087719,1.719298245614035,609.6271438622259,559.8782110148129
heating,2,11,602.2461403508772,537.638947368421,1.7719298245614035,602.0505649109907,539.4720654758963
heating,2,12,631.9891228070175,515.3391228070176,1.8421052631578947,631.1881244312532,518.5465213006469
heating,2,13,645.3001754385965,493.61982456140356,1.8596491228070176,645.1601855191981,496.5009042841917
heating,2,14,654.7349122807018,475.49701754385967,1.8596491228070176,656.4586862616392,477.4942647457765
heating,2,15,648.8985964912281,476.8670175438596,1.894736842105263,652.85341355372,476.92229047382676
heating,2,16,635.3912280701755,491.76877192982454,1.7719298245614035,633.7964681547776,490.21815656217365
heating,2,17,594.4875438596491,513.8038596491228,1.5614035087719298,593.0306237411723,511.03988836765564
heating,2,18,533.4757894736842,539.4938596491228,1.6140350877192982,539.7009698004395,535.5189649319458
heating,2,19,552.4242105263158,550.5070175438597,1.6842105263157894,552.4058422488196,547.9868451717709
heating,2,20,505.28508771929825,565.9982456140351,1.4912280701754386,502.842617513748,563.6328787021388
heating,2,21,497.54877192982457,572.4035087719299,1.4385964912280702,492.210304258213,571.5614763965285
heating,2,22,496.29105263157896,565.6666666666666,1.4912280701754386,488.38764343806736,567.3796307625299
heating,2,23,490.968947368421,568.1842105263158,1.5087719298245614,481.94408319049484,569.1008421487694
heating,3,0,404.9643548387097,443.2096774193548,1.5806451612903225,397.148668167969,443.6322910607233
heating,3,1,370.52870967741933,446.2903225806452,1.532258064516129,366.59053870989976,447.4795857965574
heating,3,2,351.6851612903226,441.0725806451613,1.3709677419354838,347.97964523308895,441.9787863029407
heating,3,3,345.63451612903225,453.14516129032256,1.3870967741935485,345.9126878600596,451.5449124735331
heating,3,4,348.6614516129032,460.51612903225805,1.5483870967741935,352.960147109262,459.98719099750366
heating,3,5,366.8117741935484,466.96774193548384,1.596774193548387,370.82677001454607,466.0112608362744
heating,3,6,344.32193548387096,489.2983870967742,1.532258064516129,350.79375140274755,485.29885558397143
heating,3,7,377.45709677419353,509.06451612903226,1.6774193548387097,385.15251153336385,504.4940203420834
heating,3,8,442.95532258064515,483.78225806451616,1.8709677419354838,446.5689281706667,484.8677127199094
heating,3,9,475.70806451612907,439.13709677419354,1.8870967741935485,476.5899417959921,442.5780622832133
heating,3,10,584.007741935484,403.64516129032256,2.129032258064516,578.3370348485585,406.9395653633408
heating,3,11,606.9429032258064,371.81451612903226,2.3548387096774195,606.9185650377524,376.97649434840235
heating,3,12,655.022741935484,347.44354838709677,2.3548387096774195,651.3615775696859,352.4866158064623
heating,3,13,708.5550000000001,324.30370967741936,2.532258064516129,705.8050596037332,327.66941525167135
heating,3,14,701.550806451613,311.4891935483871,2.6129032258064515,704.6404000521559,313.19894756650837
heating,3,15,682.4853225806451,312.456935483871,2.5,686.0147192435417,312.7587192457163
heating,3,16,653.7840322580645,319.3306451612903,2.467741935483871,658.0247112155296,318.9842856729721
heating,3,17,587.4445161290322,330.66129032258067,2.193548387096774,593.3274969850116,329.77856427716114
heating,3,18,508.86225806451614,364.3225806451613,1.903225806451613,514.2582883299663,360.3093062525988
heating,3,19,518.1829032258064,387.7903225806452,2.0,518.4465744763615,384.8325431671225
heating,3,20,483.7148387096774,408.0,1.9193548387096775,481.987264321497,405.7094209628314
heating,3,21,432.06790322580645,415.66129032258067,1.6612903225806452,426.4070852973561,414.45563571720174
heating,3,22,426.8467741935484,407.1290322580645,1.6129032258064515,417.8224445638876,408.63488048396204
heating,3,23,408.15161290322584,424.4516129032258,1.6290322580645162,401.1793763322854,424.04262190669
heating,11,0,705.0455000000001,334.3833333333333,2.533333333333333,704.527493364183,335.4157567530219
heating,11,1,694.8321666666667,336.6333333333333,2.5,691.9036762335828,337.9859247506038
heating,11,2,706.3328333333334,337.5,2.4833333333333334,700.9165145522044,338.35240715786955
heating,11,3,681.7453333333334,353.28333333333336,2.4166666666666665,680.5527206953183,351.70361890929036
heating,11,4,653.3976666666666,361.68333333333334,2.3666666666666667,656.9586480247269,360.50993170117545
heating,11,5,649.7943333333334,371.9721666666667,2.45,656.2715706178768,370.27956762776097
heating,11,6,646.006,396.17216666666667,2.45,655.3741747078013,391.7592407734331
heating,11,7,709.795,413.4388333333334,2.533333333333333,713.9979956482891,409.3701714720115
heating,11,8,752.601,398.3833333333333,2.5833333333333335,753.5366588896146,398.3362013039484
heating,11,9,842.6001666666667,360.56666666666666,2.683333333333333,835.9290320461774,363.05276701043397
heating,11,10,905.1153333333333,324.4166666666667,2.8666666666666667,898.6586110038519,327.7424327539522
heating,11,11,978.9001666666667,301.6166666666667,2.9833333333333334,970.4316960277736,305.26262681137763
heating,11,12,988.3306666666667,290.8,3.0,986.2246855767718,293.54944528816594
heating,11,13,1022.8521666666667,271.01666666666665,2.966666666666667,1019.3704010844945,273.7684788937626
heating,11,14,1025.659,270.26666666666665,2.9833333333333334,1026.4522565129694,269.8438409859504
heating,11,15,1003.3083333333333,270.51666666666665,3.05,1009.3434056020761,269.7004400546632
heating,11,16,944.0781666666667,289.8666666666667,2.8666666666666667,952.0443746548989,287.588827439705
heating,11,17,884.0031666666667,309.7,2.8666666666666667,896.1681944926527,307.0118131430827
heating,11,18,917.3236666666667,330.06666666666666,2.933333333333333,921.1279382021007,326.9123687726239
heating,11,19,882.4356666666666,337.53333333333336,2.8666666666666667,882.5172900349,336.0084386727828
heating,11,20,843.1985000000001,346.6166666666667,2.8,840.7187026460869,345.3158432582472
heating,11,21,810.3733333333333,347.1,2.8,806.5749073603484,347.6527573605491
heating,11,22,757.1175000000001,346.2,2.6166666666666667,752.9109240395505,347.51670215506067
heating,11,23,747.9345,341.81666666666666,2.566666666666667,743.4764279738338,343.7689828594644
